****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Cross-validation will be performed.  Folds=5.
Parallel execution requested.  Will use 5 threads.
Random seed: 43
Point estimation method: EM algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 41x1060
Performing five EM steps to prime main algorithm
1 (EM) 	Elapsed: 0.019	Loglikelihood: -19311.3	(delta): 38984.9
2 (EM) 	Elapsed: 0.018	Loglikelihood: -17568.7	(delta): 1742.58
3 (EM) 	Elapsed: 0.017	Loglikelihood: -17093.5	(delta): 475.21
4 (EM) 	Elapsed: 0.016	Loglikelihood: -16766.4	(delta): 327.122
5 (EM) 	Elapsed: 0.016	Loglikelihood: -16497.4	(delta): 268.972
Initial loglikelihood: -16497.4
Starting main algorithm
1 (QN/EM) 	Elapsed: 0.032	Loglikelihood: -16024.3	(delta): 473.174
2 (QN/EM) 	Elapsed: 0.03	Loglikelihood: -15557.9	(delta): 466.333
3 (QN/EM) 	Elapsed: 0.031	Loglikelihood: -14262.8	(delta): 1295.09
4 (QN/EM) 	Elapsed: 0.03	Loglikelihood: -13840.5	(delta): 422.356
5 (QN/EM) 	Elapsed: 0.03	Loglikelihood: -13528.3	(delta): 312.222
6 (QN/EM) 	Elapsed: 0.03	Loglikelihood: -12618.9	(delta): 909.324
7 (QN/EM) 	Elapsed: 0.031	Loglikelihood: -12376.5	(delta): 242.472
8 (QN/EM) 	Elapsed: 0.03	Loglikelihood: -12195.6	(delta): 180.816
9 (QN/EM) 	Elapsed: 0.03	Loglikelihood: -12122.9	(delta): 72.7715
10 (QN/EM) 	Elapsed: 0.03	Loglikelihood: -12045.9	(delta): 77.0066
11 (QN/EM) 	Elapsed: 0.03	Loglikelihood: -11949.1	(delta): 96.816
12 (QN/EM) 	Elapsed: 0.031	Loglikelihood: -11904.1	(delta): 44.9758
13 (QN/EM) 	Elapsed: 0.03	Loglikelihood: -11856	(delta): 48.0665
